candidate_field,dataset,source_field,candidate_role,transform,pit_rule,priority
ctx_zls_circulation_value_lag1_rolling_3d,ths_hot_top,circulation_value,lagged_daily_stock_context,rolling_3d,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_circulation_value_lag1_rolling_5d,ths_hot_top,circulation_value,lagged_daily_stock_context,rolling_5d,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_last_pct_lag1,ths_hot_top,last_pct,lagged_daily_stock_context,raw_numeric,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_last_pct_lag1_cross_sectional_rank,ths_hot_top,last_pct,lagged_daily_stock_context,cross_sectional_rank,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_last_pct_lag1_zscore,ths_hot_top,last_pct,lagged_daily_stock_context,zscore,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_last_pct_lag1_rolling_3d,ths_hot_top,last_pct,lagged_daily_stock_context,rolling_3d,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_last_pct_lag1_rolling_5d,ths_hot_top,last_pct,lagged_daily_stock_context,rolling_5d,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_last_price_lag1,ths_hot_top,last_price,lagged_daily_stock_context,raw_numeric,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_last_price_lag1_cross_sectional_rank,ths_hot_top,last_price,lagged_daily_stock_context,cross_sectional_rank,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_last_price_lag1_zscore,ths_hot_top,last_price,lagged_daily_stock_context,zscore,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_last_price_lag1_rolling_3d,ths_hot_top,last_price,lagged_daily_stock_context,rolling_3d,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_last_price_lag1_rolling_5d,ths_hot_top,last_price,lagged_daily_stock_context,rolling_5d,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_rank_lag1,ths_hot_top,rank,lagged_daily_stock_context,raw_numeric,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_rank_lag1_cross_sectional_rank,ths_hot_top,rank,lagged_daily_stock_context,cross_sectional_rank,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_rank_lag1_zscore,ths_hot_top,rank,lagged_daily_stock_context,zscore,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_rank_lag1_rolling_3d,ths_hot_top,rank,lagged_daily_stock_context,rolling_3d,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_rank_lag1_rolling_5d,ths_hot_top,rank,lagged_daily_stock_context,rolling_5d,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_rank_diff_lag1,ths_hot_top,rank_diff,lagged_daily_stock_context,raw_numeric,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_rank_diff_lag1_cross_sectional_rank,ths_hot_top,rank_diff,lagged_daily_stock_context,cross_sectional_rank,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_rank_diff_lag1_zscore,ths_hot_top,rank_diff,lagged_daily_stock_context,zscore,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_rank_diff_lag1_rolling_3d,ths_hot_top,rank_diff,lagged_daily_stock_context,rolling_3d,T_plus_1_lagged_daily_stock_context,medium
ctx_zls_rank_diff_lag1_rolling_5d,ths_hot_top,rank_diff,lagged_daily_stock_context,rolling_5d,T_plus_1_lagged_daily_stock_context,medium
